poi_category,poi_lat,poi_lon
school,3.0427123523888358,101.44068881950507
school,3.045044256995367,101.44131567550893
school,3.0529767371455385,101.44485123701661
school,3.1883490040572577,101.75837728567059
school,3.153769512126795,101.46095028959988
school,3.2369237087349756,101.64120899431121
school,3.1013371384727897,101.6197797047683
school,2.9811987934554844,101.50759478653201
school,3.02412882917721,101.4873027177464
school,3.212560889560799,101.75249470759385
school,3.2148013260752246,101.75136939795131
school,3.216687772044693,101.7501365034976
school,3.032119758775436,101.52920842660316
school,3.0258223132099955,101.54015290713966
school,3.018314431602754,101.53434711524255
school,2.9972695531037643,101.52766708107711
school,2.9921666908448397,101.52688866348147
school,2.9659025494990314,101.61406348244913
school,2.995028849482236,101.59604881730203
school,2.9652529000000003,101.61196395000003
school,2.9596457664910214,101.38877935710995
school,2.8243255980398096,101.5384534136567
school,3.0546365827598536,101.47279495929429
school,2.8270429111573665,101.7207243031783
school,2.621235783389067,101.71187364160085
school,2.624691642320079,101.71068846088882
school,3.011261067631002,101.48771224506028
school,3.195303019704758,101.56886352308236
school,3.0115976713520265,101.43479234352844
school,3.012303252415534,101.50961679924748
school,3.2978978852213703,101.49240719460737
school,3.419052457044326,101.56864388792349
school,3.15184026123948,101.58118436489082
school,3.3835064170256675,101.3983663091983
school,3.135086713959203,101.38088180712725
school,3.1395555147987255,101.60772659137497
school,3.1693480985575926,101.57948145873003
school,3.1782723103150294,101.57964182439304
school,3.180078703355317,101.5430494634486
school,3.1783956618167495,101.54373640185155
school,3.043997819092295,101.73700789645851
school,3.373463757113912,101.53014873108224
school,3.3731896634720147,101.52884324510103
school,3.573109479702888,101.06608309038391
school,3.389267624319334,101.2219693123676
school,3.63697339559135,101.02367290393084
school,3.6739553382144106,100.97892644293614
school,3.746375671662649,101.05654042308615
school,2.8032320010564904,101.50233877837458
school,2.9729954478659546,101.79536213798981
school,3.6166328521036704,101.05005045963622
school,3.5670068884337067,101.07204256245875
school,3.7165047103251796,101.12612974581486
school,3.010964418395273,101.60664391636186
school,3.1926051038611405,101.583913118804
school,3.132671684243242,101.60397432146097
school,3.056509875316814,101.64884944210239
school,3.0153792548669114,101.72113731998867
school,2.9504565946032146,101.74999077502724
school,2.8102975447969367,101.74099420534556
school,3.1529171652746424,101.76029827924928
school,3.108356839326537,101.53205248890599
school,3.1064522293636263,101.53188348547293
school,3.232921971079437,101.6739312314559
school,3.2364108684560544,101.68204151789462
school,3.240545803736229,101.67282890939305
school,3.1685528286806277,101.57497980386272
school,3.1685528286806277,101.57497980386272
school,3.2086112442233334,101.47835531987211
school,3.210079479809438,101.47832453009305
school,3.0994266990580237,101.52562854731809
school,3.2309045447267604,101.6350727877883
school,3.235656091007218,101.63035595288052
school,3.232607881785997,101.62616881983095
school,3.076362580507421,101.63549768844479
school,2.938692082487451,101.45856772865412
school,2.940703648942895,101.45705270613976
school,2.823291858498515,101.62258114368366
school,3.231090462443207,101.70150481809318
school,2.9479669689430015,101.85216184712988
school,3.0826235544115423,101.63585039501413
school,2.995095227387808,101.79134042702202
school,2.997784385408448,101.78712720041935
school,2.9854419043455405,101.79197895507387
school,2.9838472452268414,101.79180699072475
school,2.9897915767560153,101.78991398789111
school,2.9916184688450134,101.7669729301712
school,2.9837454511341837,101.75279936905903
school,2.9703846851133724,101.77555721319712
school,2.9783131798304456,101.772662870291
school,2.805155394147286,101.6570472981377
school,2.8040904642167725,101.65627405469013
school,3.421340327837945,101.66248167895672
school,3.4682504430426433,101.64485577689966
school,3.465217322068098,101.64715780549858
school,3.4579361433128932,101.6537650794082
school,3.459338610438498,101.65426520005472
school,3.4576387855469783,101.65548785796877
school,3.5622583665257284,101.65539592434065
school,2.6949789940430233,101.75007867417747
school,2.6892089807574235,101.74920882993831
school,3.137859870913262,101.5998110241217
school,3.1396857670404286,101.59554048425234
school,2.9786152568507327,101.48963199453833
